ID,Catalog#,Artist,Artist2,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Collection Cost,Collection Autographed, Min , Median , Max ,Genre,Subgenre
256,GHS 24099,Whitesnake,Whitesnake,Whitesnake,Geffen Records,"LP, Album",3,1987,383094,Vinyl,8/9/15 18:23,,,,0.5,,5.5,9.05,21.49,Rock,Classic Rock
275,RR 6427-2,The Dillinger Escape Plan,The Dillinger Escape Plan,Calculating Infinity,Relapse Records,"CD, Album",,1999,5536513,CD,6/12/15 18:44,,,,1,,0.86,5.51,11.99,Metal,Progressive Metal
182,HH666-52,Cave In,Cave In,Jupiter,Hydra Head Records,"CD, Album",,2000,416414,CD,9/20/16 18:42,,,,2,,4.02,6.85,8.91,Metal,Hardcore
375,IPC-32,Isis (6),Isis (6),Oceanic,Ipecac Recordings,"CD, Album",,2002,376473,CD,3/25/14 19:51,,,,7,,4.58,6.33,12.97,Metal,Post Metal
193,J1PV-55425-1,Wyclef Jean,Wyclef Jean,The Preacher's Son,J Records,"2xLP, Promo",,2003,2092873,Vinyl,6/9/16 11:15,,,Sell,0.5,,1.88,3.88,10,Hip Hop,Hip Hop
146,TZ 7092,Kayo Dot,Kayo Dot,Choirs Of The Eye,Tzadik,"CD, Album, Cre",5,2003,649369,CD,4/2/17 18:17,,,,15,Yes,6.66,10.19,16.37,Metal,Progressive Metal
264,EK 93480,Chevelle (2),Chevelle (2),This Type Of Thinking (Could Do Us In),Epic,"CD, Album",,2004,2751295,CD,7/14/15 8:39,,,,10,,1.59,2.29,2.99,Rock,Alternative Rock
325,IPC-57,Isis (6),Isis (6),Panopticon,Ipecac Recordings,"CD, Album",,2004,377605,CD,11/22/14 12:21,,,,7,,4.55,9.91,11.99,Metal,Post Metal
288,KOC-DV-9540,Opeth,Opeth,Lamentations - Live At Shepherd's Bush Empire 2003,Koch Records,"DVD-V, NTSC, Dig",,2004,474500,CD,6/12/15 18:29,,,,6,,4.99,6.4,19,Metal,Progressive Metal
265,EN 93680,Chevelle (2),Chevelle (2),This Type Of Thinking (Could Do Us In),Sony BMG Music Entertainment,"Hybrid, DualDisc, Multichannel, NTSC",,2005,1211160,CD,7/14/15 8:39,,,,5,,5,10,12,Rock,Alternative Rock
12,"MB060, MBL060",Old Man Gloom,Old Man Gloom,Christmas,"Magic Bullet Records, Magic Bullet Records","2xLP, Album, Ltd",,2005,874585,Vinyl,2/22/20 16:04,,,,17,,13,19.89,32.48,Metal,Post Metal
180,HH666-116,Stephen Brodsky,Stephen Brodsky,Stephen Brodsky's Octave Museum,Hydra Head Records,"CD, Album",,2006,3634345,CD,9/20/16 18:56,,,,2,,1.29,2.25,7.77,Rock,Hardcore
179,HH666-86,Botch,Botch,61502,Hydra Head Records,"DVD-V, Promo",,2006,2695981,CD,9/20/16 19:06,,,,1,,3,4.27,5.62,Metal,Hardcore
324,IPC-81,Isis (6),Isis (6),In The Absence Of Truth,Ipecac Recordings,"CD, Album",,2006,814912,CD,11/22/14 12:21,,,,7,,3.55,6.57,7.79,Metal,Post Metal
118,"IPC80, ipc80",Isis (6),Isis (6),Clearing The Eye,"Ipecac Recordings, Ipecac Recordings",DVD-V,5,2006,1004097,CD,11/11/17 14:05,,,,10,,4.44,6.67,14.99,Metal,Post Metal
263,88697 07965 2,Chevelle (2),Chevelle (2),Vena Sera,Epic,"CD, Album, Bes",,2007,5365531,CD,7/14/15 8:41,,,,7,,3,5.99,12.5,Rock,Alternative Rock
177,HH666-142,Hayaino Daisuki,Hayaino Daisuki,Headbanger’s Karaoke Club Dangerous Fire,Hydra Head Records,"CD, EP",,2008,4195227,CD,9/20/16 19:19,,,,2,,3,4.95,9.99,Metal,Grindcore
377,SOM 182,Cynic (2),Cynic (2),Traced In Air,Season Of Mist,"CD, Album",,2008,1734200,CD,3/25/14 19:39,,,,14,,6,9.63,14.43,Metal,Progressive Metal
185,8513-1,Intronaut,Intronaut,Prehistoricisms,Century Media,"2xLP, Album, Ltd, Whi",,2008,1878087,Vinyl,9/16/16 18:23,,,,22,,10,25,30,Metal,Post Metal
211,BOBV097LP,Opeth,Opeth,Orchid,Back On Black,"2xLP, Album, RE, 180",5,2008,5238284,Vinyl,4/1/16 11:48,,,,22,,19.47,32.61,43.48,Metal,Progressive Metal
296,BOBV099LP,Opeth,Opeth,"My Arms, Your Hearse",Back On Black,"2xLP, Album, RE, 180",,2008,3525271,Vinyl,3/19/15 17:43,,,,6,,20,33.33,41.11,Metal,Progressive Metal
345,VR494,Murder By Death,Murder By Death,Red Of Tooth And Claw,Vagrant Records,"LP, Album, RP, 200",,2008,4522790,Vinyl,9/5/14 10:24,,,,25,,23.26,29.13,35,Rock,Folk
381,6561910070-2,Scale The Summit,Scale The Summit,Carving Desert Canyons,Prosthetic Records,"CD, Album",,2009,2797173,CD,3/25/14 19:36,,,Sell,7,,2.5,4.02,8.32,Metal,Progressive Metal
178,hh666-176,Xasthur,Xasthur,All Reflections Drained,Hydra Head Records,"CD, Album, RM + CD + A5 ",,2009,1796402,CD,9/20/16 19:12,,,,2,,5,11.92,16.99,Metal,Black Metal
357,459132-1,Mastodon,Mastodon,Crack The Skye,"Reprise Records, Sire, Relapse Records","LP, Album",,2009,1769979,Vinyl,9/5/14 10:14,,,,15,,7.5,15.18,19.99,Metal,Sludge Metal
276,"NAULA 102, 176398-1",Sólstafir,Sólstafir,Köld,"Spikefarm Records, Spikefarm Records","CD, Album",,2009,1895920,CD,6/12/15 18:44,,,,5,,7.78,12.78,18.28,Metal,Post Metal
262,KR-29,Valkyrie (3),Valkyrie (3),Man Of Two Visions,Kreation Records,"LP, Album, Ltd",4,2009,1657368,Vinyl,7/20/15 11:27,,,,15,,8,10.99,22.3,Metal,Stoner Metal
90,none,Various,Various,This Box Kills Fascists Always,Relapse Records,"7x7"", Comp",,2009,1664988,Vinyl,5/29/18 18:21,,,,10,,8,9.99,18.54,Metal,Grindcore
308,#117,Weekend Nachos,Weekend Nachos,Unforgivable,Deep Six Records,"12"", Album, Gre",,2009,4878449,Vinyl,3/7/15 17:34,,,,10,,8,11.77,16.48,Metal,Grindcore
344,SP 34,Nirvana,Nirvana,Bleach,Sub Pop,"LP, Album, RM",,2009,3742283,Vinyl,9/5/14 10:25,,,,17,,12.99,15,18.17,Rock,Grunge
239,RR7053,Baroness,Baroness,Blue Record,Relapse Records,"2x12"", Album, Ltd, RP, Gre",5,2009,2360222,Vinyl,11/1/15 16:17,,,,17,,15,37.25,44.99,Metal,Sludge Metal
195,SW-116,Magrudergrind,Magrudergrind,Magrudergrind,Six Weeks,"12"", Album, RP, Min",3,2009,6332577,Vinyl,6/3/16 16:02,,,,7,,15,17.5,19.99,Metal,Grindcore
183,HH666-184,Cave In,Cave In,Planets Of Old,Hydra Head Records,"CD, EP + DVD",,2010,2110401,CD,9/20/16 18:40,,,,2,,3.79,7.5,11.67,Metal,Hardcore
303,"UT29, FR 004",Bongripper,Bongripper,Satan Worshipping Doom,"Universal Tongue, Féretro Records","CD, Album, Ltd",,2010,2891490,CD,3/7/15 18:11,,,,5,,3.95,9.04,27.77,Metal,Doom Metal
176,HHH666-177,Hayaino Daisuki,Hayaino Daisuki,"The Invincible Gate Mind Of The Infernal Fire Hell, Or Did You Mean Hawaii Daisuki?",Hydra Head Records,"CD, EP",,2010,3448546,CD,9/20/16 19:19,,,,2,,4,7.99,11.11,Metal,Grindcore
289,CDVILEB304,Opeth,Opeth,The Roundhouse Tapes,Peaceville,"2xCD, Album + DVD-V, NTSC + Box",,2010,2715980,CD,6/12/15 18:28,,,,9,,4.44,9.2,16.67,Metal,Progressive Metal
358,44364-1,Mastodon,Mastodon,Blood Mountain,"Reprise Records, Relapse Records","LP, Album, RE, RP",,2010,3961187,Vinyl,9/5/14 10:13,,,,15,,5.99,11.96,20.65,Metal,Sludge Metal
229,NED026,Deathspell Omega,Deathspell Omega,Paracletus,Norma Evangelium Diaboli,"LP, Album",5,2010,2536137,Vinyl,12/13/15 15:57,,,,20,,15.22,30.25,99,Metal,Black Metal
299,DWI72.1,Converge,Converge,Jane Doe,"Deathwish, Equal Vision Records","2x12"", Album, RE, RP",,2010,2719451,Vinyl,3/19/15 17:39,,,,12,,24,29.99,44.99,Metal,Hardcore
208,MOVLP084,Opeth,Opeth,Blackwater Park,Music On Vinyl,"2xLP, Album, RE, RM, 180",5,2010,3813877,Vinyl,4/4/16 8:26,,,,31,,26.19,31.99,39.98,Metal,Progressive Metal
384,VR533,Between The Buried And Me,Between The Buried And Me,The Great Misdirect,Victory Records,"2xLP, Album, Ltd, Ora",,2010,2197741,Vinyl,3/25/14 19:33,,,,18,,30,35.49,48.99,Metal,Progressive Metal
350,"1686-177528, RR 0919-9",Opeth,Opeth,In Live Concert At The Royal Albert Hall,"Roadrunner Records, Roadrunner Records","4xLP + 2xDVD-V, Multichannel + Box, Ltd, Num",5,2010,2469560,Vinyl,9/5/14 10:18,,,,66,,85.99,117.83,141.76,Metal,Progressive Metal
400,none,Scale The Summit,Scale The Summit,The Collective,Prosthetic Records,"CD, Album",,2011,3314668,CD,12/27/13 19:02,,,Sell,8,,1.91,6.27,12.18,Metal,Progressive Metal
236,8921,Last Chance To Reason,Last Chance To Reason,Level 2,Prosthetic Records,"CD, Album",,2011,4774620,CD,11/30/15 21:49,,,,10,,1.99,3.3,6.48,Metal,Progressive Metal
277,PFL-084,The Atlas Moth,The Atlas Moth,An Ache For The Distance,Profound Lore Records,"CD, Album",,2011,3136106,CD,6/12/15 18:43,,,,10,,2.22,5.27,16.67,Metal,Post Metal
402,8743-2,TesseracT,TesseracT,One,Century Media,"CD, Album + DVD-V, NTSC + Ltd, Dig",5,2011,2787424,CD,12/27/13 18:47,,,,11,,3,11,16.99,Metal,Djent
380,SH066,Russian Circles,Russian Circles,Empros,Sargent House,"CD, Album",,2011,3190885,CD,3/25/14 19:36,,,,10,,4.4,7.69,15.93,Metal,Post Metal
184,HH666-229,Pyramids / Horseback,Pyramids / Horseback,A Throne Without A King,Hydra Head Records,"CD, Album",,2011,5291914,CD,9/20/16 18:23,,,,2,,4.47,8.47,17.39,Metal,Black Metal
376,SOM 236,Cynic (2),Cynic (2),Carbon-Based Anatomy,Season Of Mist,"CD, EP",,2011,3280929,CD,3/25/14 19:39,,,,12,,4.95,7,9.81,Metal,Progressive Metal
364,ULR-12025-2,Fallujah,Fallujah,The Harvest Wombs,Unique Leader Records,"CD, Album",,2011,3843668,CD,9/5/14 10:11,,,,10,,5,11.49,15.37,Metal,Technical Death Metal
281,"322-21, eld034",Ash Borer / Fell Voices,Ash Borer / Fell Voices,Ash Borer / Fell Voices,"Eternal Warfare, Gilead Media","LP, Ltd, RE",,2011,2750307,Vinyl,6/12/15 18:35,,,,16,,8,10,25,Metal,Black Metal
151,SR3060,Haken (2),Haken (2),Visions,Sensory,"CD, Album",,2011,3203747,CD,3/11/17 19:31,,,,10,,8.75,11.11,14,Metal,Progressive Metal
389,BSK033CD,Uneven Structure,Uneven Structure,Februus,Basick Records,"2xCD, Album",,2011,3232432,CD,1/18/14 17:56,,,,8,,8.86,11.09,15.38,Metal,Djent
307,DEEP SIX #157,Weekend Nachos,Weekend Nachos,Worthless,Deep Six Records,"LP, Album, Whi",,2011,4034995,Vinyl,3/7/15 17:38,,,,10,,10,11.53,20,Metal,Grindcore
327,TSR051,Pianos Become The Teeth,Pianos Become The Teeth,The Lack Long After,Topshelf Records (2),"LP, RP, Ora",,2011,5638933,Vinyl,11/19/14 18:41,,,,15,,11,14.31,25.56,Rock,Post Hardcore
83,DEN52,Celeste (4),Celeste (4),Morte(s) Nee(s),Denovali Records,"LP + LP, S/Sided + Album, Ltd, RP",,2011,3559532,Vinyl,6/9/18 22:09,,,,25,Yes,18.39,25.71,40.23,Metal,Black Metal
315,"SOM 247LP, SOM247LP",Sólstafir,Sólstafir,Svartir Sandar,"Season Of Mist, Season Of Mist","2xLP, Album",,2011,3200701,Vinyl,12/24/14 18:45,,,,12.5,Yes,21.8,27.41,31.35,Metal,Post Metal
326,3984-15148-2,Between The Buried And Me,Between The Buried And Me,The Parallax II: Future Sequence,Metal Blade Records,"CD, Album, Dig",,2012,4533614,CD,11/19/14 18:49,,,,2.5,,2,3.99,11.11,Metal,Progressive Metal
181,HH666-239,Split Cranium,Split Cranium,Split Cranium,Hydra Head Records,"CD, Album",,2012,4098489,CD,9/20/16 18:55,,,,2,,2,5.28,8.89,Metal,Post Metal
329,SOPR009,Beak,Beak,Eyrie,Someoddpilot Records,"12"", EP",,2012,3847433,Vinyl,11/19/14 18:40,,,Sell,10,,4,4,4,Metal,Post Metal
391,BSK036LP,Chimp Spanner,Chimp Spanner,All Roads Lead Here,Basick Records,"12"", EP, Ltd, Cle",,2012,3403278,Vinyl,1/18/14 17:55,,,,12,,4.66,12.05,19.69,Metal,Djent
210,BWR029,Vattnet Viskar,Vattnet Viskar,Vattnet Viskar,Burning World Records,"12"", EP, Ltd",4,2012,4253297,Vinyl,4/4/16 8:25,,,,20,Yes,4.89,5.43,8.7,Metal,Black Metal
363,9982142,Monuments (5),Monuments (5),Gnosis,Century Media,"CD, Album",,2012,4548733,CD,9/5/14 10:12,,,,10,,5.25,6.94,9.24,Metal,Djent
305,EME054,Bongripper,Bongripper,The Great Barrier Reefer,Emetic Records,"CD, Album, RE, RM",,2012,3964583,CD,3/7/15 18:10,,,,5,,9.85,13.16,24.99,Metal,Doom Metal
369,DW120,Deafheaven,Deafheaven,Roads To Judah,Deathwish,"LP, Album, RP, Cle",,2012,4693633,Vinyl,5/5/14 21:23,,,Sell,15,,10,14.99,21.4,Metal,Black Metal
147,IPC 140LP,Isis (6),Isis (6),Temporal,Ipecac Recordings,3xLP + DVD + Comp,5,2012,4044424,Vinyl,4/2/17 18:03,,,,20,,14,18,39.99,Metal,Post Metal
386,RR7203,Pig Destroyer,Pig Destroyer,Book Burner,Relapse Records,"LP, Album, Blu + 12"", S/Sided, EP, Etch, Blu + Dlx",,2012,3848808,Vinyl,3/25/14 19:30,,,,20,Yes,15,28.33,39.99,Metal,Grindcore
399,none,Scale The Summit,Scale The Summit,The Collective,Prosthetic Records,"LP, Album",,2012,3416978,Vinyl,12/27/13 19:02,,,Sell,17,,18.99,28.49,46.15,Metal,Progressive Metal
339,ULR-12029-1,Gorod,Gorod,A Perfect Absolution,Unique Leader Records,"LP, Album, Blu",,2012,5062573,Vinyl,10/5/14 18:51,,,,12,,19.99,48.05,199.98,Metal,Technical Death Metal
287,VILELP78,Opeth,Opeth,Still Life,Peaceville,"2xLP, Album, RE, 180",,2012,3711070,Vinyl,6/12/15 18:29,,,,32,,20.31,21.18,30.99,Metal,Progressive Metal
371,none,Cloudkicker,Cloudkicker,Beacons,Not On Label (Cloudkicker Self-released),"LP, Album, RP",,2012,3983890,Vinyl,5/5/14 21:22,,,,15,,30,46.98,55,Metal,Progressive Metal
368,14466,Trioscapes,Trioscapes,Separate Realities,Hogweed & Fugue Records,"LP, Ltd",,2012,3594802,Vinyl,5/5/14 21:25,,,,15,Yes,30,39.49,50,Metal,Progressive Metal
279,DDR068LP,Wodensthrone,Wodensthrone,Curse,Dark Descent Records,"2xLP, Album, Ltd",,2012,4354145,Vinyl,6/12/15 18:35,,,,20,,32.11,39.64,45.56,Metal,Black Metal
405,3984-15148-1,Between The Buried And Me,Between The Buried And Me,The Parallax II: Future Sequence,Metal Blade Records,"LP, Blu + LP, Gre + Album",,2012,3937482,Vinyl,12/27/13 18:25,,,,30,,60,70,113.64,Metal,Progressive Metal
189,Relic 009,Bunrage / Footpaths,Bunrage / Footpaths,Untitled,Haute Magie,"LP, Cle",,2012,3469073,Vinyl,6/18/16 13:22,,,,0,,,,,Folk,Folk
401,none,Scale The Summit,Scale The Summit,The Migration,Prosthetic Records,"CD, Album",,2013,4651287,CD,12/27/13 18:55,,,Sell,15,,2,7.07,11.54,Metal,Progressive Metal
105,B0019254-01,Lorde,Lorde,Pure Heroine,"Lava, Republic Records","LP, Album",5,2013,5121876,Vinyl,2/18/18 16:04,,,,16,,5,19.72,26,Pop,Pop
223,none,Cokegoat,Cokegoat,Vessel,Not On Label,"LP, Album, 180",4,2013,6514547,Vinyl,12/21/15 7:50,,,,8,,5.4,5.4,5.4,Metal,Doom Metal
191,"SLS VOL 10, none",Vektor,Vektor,Scion AV Presents: Label Showcase - Earache,"Scion Audio/Visual, Earache","10"", Promo",5,2013,7362303,Vinyl,6/11/16 13:04,Very Good Plus (VG+),No Cover,,10,,6,20,46.84,Metal,Thrash Metal
348,#207 ,Weekend Nachos,Weekend Nachos,Still,Deep Six Records,"12"", Album",,2013,5087789,Vinyl,9/5/14 10:21,,,,10,,6.59,13.99,18.57,Metal,Grindcore
330,none,Ovid's Withering,Ovid's Withering,Scryers Of The Ibis,Subliminal Groove Records (2),CD,,2013,5170986,CD,10/10/14 7:34,,,,10,,7,9.29,11.58,Metal,Technical Death Metal
394,3984-15190-2,The Ocean (2),The Ocean (2),Pelagial,"Metal Blade Records, Pelagic Records","2xCD, Album, Dig",,2013,4529061,CD,12/27/13 21:04,,,,12,,7.69,12.5,14.99,Metal,Post Metal
370,GLS-0147-01,Chvrches,Chvrches,The Bones Of What You Believe,"Glassnote (2), Goodbye Records (2)","LP, Album, 180",,2013,4943832,Vinyl,5/5/14 21:22,,,,18,,8,16.78,19.2,Pop,Synthpop
398,6561910160-1,Skeletonwitch,Skeletonwitch,Serpents Unleashed,Prosthetic Records,"LP, Album, Red",5,2013,5102118,Vinyl,12/27/13 19:14,,,,22,Yes,8,22,29.99,Metal,Death Metal
383,9047-1,Vattnet Viskar,Vattnet Viskar,Sky Swallower,Century Media,"LP, Album, Ltd, Whi",,2013,4894338,Vinyl,3/25/14 19:33,,,,15,Yes,8.37,14,28.83,Metal,Black Metal
200,RR7206,Inter Arma,Inter Arma,Sky Burial ,Relapse Records,"2xLP, Album",5,2013,4398750,Vinyl,4/23/16 14:25,Mint (M),Mint (M),,19,,10,15,21.87,Metal,Sludge Metal
258,none,Last Chance To Reason,Last Chance To Reason,Level 3,Prosthetic Records,"LP, Ele",,2013,4844446,Vinyl,8/6/15 12:15,,,,12,,10,27.83,60,Metal,Progressive Metal
347,LAUNCH062,Goat (22),Goat (22),Live Ballroom Ritual ,Rocket Recordings,"2xLP, Album",,2013,5170063,Vinyl,9/5/14 10:23,,,Sell,20,,10.39,13.16,27.96,Rock,Psychdelic
274,RR01,Vestiges,Vestiges,The Descent Of Man,Replenish records,"2xCD, Album, Comp, Ltd, RE, RM",,2013,4989591,CD,6/12/15 18:45,,,,8,,10.85,12.68,21.34,Metal,Black Metal
338,WOM047,Martyr (7),Martyr (7),Hopeless Hopes,"War On Music, Galy Records","LP, Album, Ltd, RE, Blu",5,2013,4820495,Vinyl,10/5/14 18:51,,,,11,,11.38,12.9,18.93,Metal,Technical Death Metal
20,DGC-24727,Nirvana,Nirvana,MTV Unplugged In New York,DGC,"LP, Album, RE, RP, 180",,2013,6553015,Vinyl,10/23/19 19:04,,,,20,,12,19.46,29.99,Metal,Grunge
284,ULR12040-1,Deeds Of Flesh,Deeds Of Flesh,Portals To Canaan,Unique Leader Records,"LP, Album, Cle",,2013,4783264,Vinyl,6/12/15 18:33,,,Sell,10,,12.93,21.71,37.08,Metal,Black Metal
382,VR262,Between The Buried And Me,Between The Buried And Me,Alaska,Victory Records,"2xLP, Album",,2013,4878982,Vinyl,3/25/14 19:35,,,,18,,13,21.48,31.99,Metal,Progressive Metal
392,"BSK024LP, RSD13-001",Chimp Spanner,Chimp Spanner,At The Dream's Edge,"Basick Records, Record Store Day","2xLP, Album, Ltd",,2013,4557732,Vinyl,1/18/14 17:55,,,,15,,13,24.33,32.1,Metal,Djent
403,8974-8,Tesseract,Tesseract,Altered State,Century Media,"CD, Album + CD, Album, Ins + Dig",5,2013,4669627,CD,12/27/13 18:46,,,,17,,13,32,39.99,Metal,Djent
361,RR7223,Ulcerate,Ulcerate,Vermis,Relapse Records,"2x12"", Album, Ltd, RP, Red",,2013,5048064,Vinyl,9/5/14 10:12,,,,30,Yes,13.49,23.9,25.54,Metal,Death Metal
343,"NB 2995-1, 2995-1",Soilwork,Soilwork,The Living Infinite,"Nuclear Blast, Nuclear Blast","2xLP, Album, Ltd, Sea",,2013,4440602,Vinyl,9/5/14 10:25,,,,15,,14.98,16.78,19.95,Metal,Melodic Death Metal
320,10133-1,Scale The Summit,Scale The Summit,The Migration,Prosthetic Records,"LP, Album, Ltd, Whi",,2013,5230242,Vinyl,12/14/14 10:46,,,Sell,12,,15,21.27,26.54,Metal,Progressive Metal
393,"BSK039LP , RSD13-003",Skyharbor,Skyharbor,Blinding White Noise: Illusion & Chaos,"Basick Records, Record Store Day","2xLP, Album",,2013,4683353,Vinyl,1/18/14 17:54,,,,15,Yes,15.56,43.88,52.63,Metal,Djent
298,BOBV359LP,Enslaved,Enslaved,Vertebrae,Back On Black,"2xLP, RE, 180",,2013,4644561,Vinyl,3/19/15 17:39,,,,30,Yes,15.58,20.7,26.87,Metal,Black Metal
351,TE010-1,Agalloch,Agalloch,Pale Folklore,The End Records,"2xLP, Album, RE, Whi",,2013,4532394,Vinyl,9/5/14 10:17,,,,30,,16,35,70.65,Metal,Black Metal
228,NED 012,Deathspell Omega,Deathspell Omega,"Fas – Ite, Maledicti, In Ignem Aeternum",Norma Evangelium Diaboli,"LP, Album, RP",5,2013,5140549,Vinyl,12/13/15 15:57,,,,20,,16.47,32.97,60,Metal,Black Metal
246,"FR35, none",Panopticon (6),Panopticon (6),Kentucky,"Flenser Records, Lundr Records","2xLP, Album, RP",4,2013,4795486,Vinyl,9/9/15 11:34,,,,17.25,,18,37,57.25,Metal,Black Metal
342,ULR12048-1,Fallujah,Fallujah,-Nomadic-,Unique Leader Records,"10"", EP",,2013,6031054,Vinyl,9/5/14 10:29,,,Sell,18,Yes,18.86,21.67,50,Metal,Technical Death Metal
245,MUF009,Year Of No Light,Year Of No Light,Ausserwelt,Music Fear Satan,"2xLP, Album, RP",4,2013,5568316,Vinyl,9/9/15 11:34,,,,19.5,,19,23.99,27.68,Metal,Post Metal
406,VR351,Between The Buried And Me,Between The Buried And Me,Colors,Victory Records,"2xLP, Album, RP",,2013,4798743,Vinyl,12/27/13 18:24,,,,20,,20,28.94,38.99,Metal,Progressive Metal
266,BOBV354LP,Cult Of Luna,Cult Of Luna,Vertikal,"Back On Black, Indie Recordings","2xLP, Album, Ltd, 180",5,2013,4224262,Vinyl,6/30/15 14:42,,,,20,Yes,20,26.92,48.54,Metal,Post Metal
385,DW146,Deafheaven,Deafheaven,Sunbather,Deathwish,"12"",  Pi + 12"", Yel + Album, RP",,2013,4755491,Vinyl,3/25/14 19:32,,,Sell,20,,20,25.99,36.56,Metal,Black Metal
230,RR7142,Devourment,Devourment,Conceived In Sewage,Relapse Records,"LP, Cle",4,2013,4335957,Vinyl,12/9/15 9:22,,,,13.63,,20,31,69.99,Metal,Death Metal
354,RRCAR 8123-1,Opeth,Opeth,Ghost Reveries,"Roadrunner Records, Cargo Records","2xLP, Album, RE, 180",,2013,4909740,Vinyl,9/5/14 10:16,,,,40,,20,24.98,32.18,Metal,Progressive Metal
387,BSK888CD,Uneven Structure,Uneven Structure,8,Basick Records,"CD, EP, Re-",,2013,4658190,CD,1/18/14 18:04,,,,8,,20,20,20,Metal,Djent
309,3984-15153-1,Downfall Of Gaia,Downfall Of Gaia,Suffocating In The Swarm Of Cranes,Metal Blade Records,"LP, Blu + LP, S/Sided, Etch, Blu + Album, Ltd",,2013,5094607,Vinyl,2/10/15 9:51,,,,22,,20.33,25.16,28.57,Metal,Post Metal
390,"BSK044LP, RSD13-004",The Algorithm,The Algorithm,Polymorphic Code,"Basick Records, Record Store Day","2xLP, Album",,2013,4872239,Vinyl,1/18/14 17:56,,,,15,,22.49,22.49,31.46,Metal,Djent
209,9983171,Intronaut,Intronaut,Habitual Levitations (Instilling Words With Tones),Century Media,"2xLP, Album, Ltd, Red",,2013,4465515,Vinyl,4/4/16 8:25,,,,30,Yes,22.55,28.64,39.99,Metal,Post Metal
237,none,Intronaut,Intronaut,Valley Of Smoke,Not On Label (Intronaut Self-released),"LP, Album, Ltd, RE, Gol",4,2013,4960148,Vinyl,11/21/15 10:14,,,,20,Yes,22.99,40,76.92,Metal,Post Metal
337,RR15,Falls Of Rauros,Falls Of Rauros,The Light That Dwells In Rotten Wood,Replenish Records,"2xLP, Ltd",,2013,4987272,Vinyl,10/5/14 18:52,,,,18,Yes,23.07,37.92,66.91,Metal,Black Metal
106,B0018959-01,Nirvana,Nirvana,In Utero (2013 Mix),"DGC, UMe","2x12"", Album, Gat",4,2013,5146137,Vinyl,2/4/18 20:38,,,,19,,24.44,26.72,36.36,Metal,Grunge
